ConvertedCompYearly,OrgSize,Industry,RemoteWork,JobSat,YearsCodePro,LearnCode,LearnCodeOnline,EdLevel,Employment,DevType
7322.0,100 to 499 employees,Software Development,"Hybrid (some remote, some in-person)",10.0,1.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;AI,Other,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",Data scientist or machine learning specialist
91295.0,20 to 99 employees,Computer Systems Design and Services,Remote,10.0,6.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Books;Social Media;Written-based Online Courses,Master,"Employed, full-time",Data scientist or machine learning specialist
110000.0,10 to 19 employees,"Transportation, or Supply Chain",Remote,10.0,7.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Video-based Online Courses,Other,"Employed, full-time;Student, part-time",Student
195000.0,"1,000 to 4,999 employees",Healthcare,Remote,5.0,30.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media,Other,"Employed, full-time","Developer, full-stack"
79481.0,20 to 99 employees,Software Development,Remote,3.0,16.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;AI,Master,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, full-stack"
170000.0,100 to 499 employees,Other:,Remote,8.0,17.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Social Media;Interactive tutorial;Written-based Online Courses,Master,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, back-end"
29000.0,10 to 19 employees,Higher Education,In-person,10.0,1.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow,Master,"Employed, full-time",Academic researcher
66592.0,100 to 499 employees,Healthcare,Remote,7.0,4.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Stack Overflow;How-to videos;Interactive tutorial;Video-based Online Courses,Other,"Independent contractor, freelancer, or self-employed","Developer, full-stack"
85925.0,20 to 99 employees,Other:,Remote,7.0,30.0,"Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Friend or family member",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Written-based Online Courses,Master,"Employed, full-time","Developer, full-stack"
124840.0,100 to 499 employees,Software Development,Remote,7.0,15.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Stack Overflow;AI,Bachelor,"Employed, full-time","Developer, front-end"
230000.0,100 to 499 employees,Software Development,Remote,8.0,11.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media,Bachelor,"Employed, full-time","Engineer, site reliability"
85000.0,20 to 99 employees,Retail and Consumer Services,In-person,8.0,23.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Friend or family member",Technical documentation;Books;Written Tutorials;Stack Overflow,Bachelor,"Employed, full-time","Developer, full-stack"
160000.0,10 to 19 employees,Software Development,Remote,7.0,18.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Social Media,Other,"Employed, full-time","Developer, full-stack"
161783.0,"10,000 or more employees",Other:,Remote,8.0,17.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Certification videos;Online challenges (e.g., daily or weekly coding challenges)",Bachelor,"Employed, full-time",Other (please specify):
146496.0,20 to 99 employees,Software Development,Remote,9.0,10.0,"Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Stack Overflow;Interactive tutorial;Video-based Online Courses,Bachelor,"Employed, full-time;Student, part-time","Developer, mobile"
69814.0,10 to 19 employees,Software Development,"Hybrid (some remote, some in-person)",6.0,10.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Stack Overflow;How-to videos;Interactive tutorial;Written-based Online Courses,Master,"Employed, full-time","Developer, full-stack"
115000.0,100 to 499 employees,Other:,In-person,6.0,10.0,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",How-to videos,Other,"Employed, full-time","Developer, full-stack"
64570.0,100 to 499 employees,Software Development,Remote,7.0,9.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;AI,Other,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, full-stack"
52122.0,"10,000 or more employees",Software Development,"Hybrid (some remote, some in-person)",3.0,11.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;How-to videos;Written-based Online Courses;Certification videos,Master,"Employed, full-time","Developer, back-end"
54777.0,2 to 9 employees,Software Development,In-person,2.0,8.0,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Social Media;Written-based Online Courses,Master,"Employed, full-time","Developer, back-end"
254425.0,"10,000 or more employees",Software Development,"Hybrid (some remote, some in-person)",7.0,24.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",Master,"Employed, full-time","Developer, game or graphics"
27926.0,100 to 499 employees,Software Development,In-person,4.0,15.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Friend or family member;Other (please specify):","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",Master,"Student, part-time;Employed, part-time","Developer, embedded applications or devices"
37297.0,100 to 499 employees,Manufacturing,Remote,5.0,12.0,"Books / Physical media;Colleague;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;AI,Other,"Employed, full-time","Developer, front-end"
140000.0,"10,000 or more employees",Retail and Consumer Services,Remote,8.0,26.0,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Other (please specify):",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Written-based Online Courses,Bachelor,"Employed, full-time","Developer, QA or test"
213840.0,10 to 19 employees,Software Development,In-person,4.0,9.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Social Media;Interactive tutorial;AI,Master,"Employed, full-time","Developer, full-stack"
67227.0,"1,000 to 4,999 employees","Internet, Telecomm or Information Services",Remote,8.0,14.0,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Interactive tutorial;Video-based Online Courses;Written-based Online Courses,Master,"Employed, full-time","Developer, front-end"
59073.0,2 to 9 employees,Retail and Consumer Services,Remote,7.0,16.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Video-based Online Courses;Written-based Online Courses;Certification videos,Other,"Independent contractor, freelancer, or self-employed","Developer, full-stack"
119943.0,"1,000 to 4,999 employees",Healthcare,"Hybrid (some remote, some in-person)",6.0,17.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Video-based Online Courses,Bachelor,"Employed, full-time","Developer, full-stack"
100000.0,10 to 19 employees,Other:,"Hybrid (some remote, some in-person)",7.0,9.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Friend or family member","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",Doctorate,"Employed, full-time",Academic researcher
14142.0,"5,000 to 9,999 employees",Government,"Hybrid (some remote, some in-person)",5.0,7.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Coding sessions (live or recorded);Social Media;Video-based Online Courses;Written-based Online Courses;AI;Programming Games,Bachelor,"Employed, full-time",Data or business analyst
102000.0,"1,000 to 4,999 employees",Government,Remote,0.0,22.0,"On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses,Bachelor,"Employed, full-time","Developer, full-stack"
650.0,10 to 19 employees,Software Development,Remote,9.0,1.0,"Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Stack Overflow;Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI,Master,"Employed, full-time","Developer, back-end"
136000.0,100 to 499 employees,Software Development,Remote,3.0,1.0,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)","Technical documentation;Written-based Online Courses;AI;Online challenges (e.g., daily or weekly coding challenges)",Bachelor,"Employed, full-time;Student, full-time",System administrator
48333.0,500 to 999 employees,Manufacturing,"Hybrid (some remote, some in-person)",7.0,28.0,"Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Stack Overflow;Social Media;Interactive tutorial;Written-based Online Courses;AI,Master,"Employed, full-time","Developer, embedded applications or devices"
53703.0,2 to 9 employees,Computer Systems Design and Services,"Hybrid (some remote, some in-person)",6.0,25.0,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;Written-based Online Courses;AI,Other,"Employed, full-time;Independent contractor, freelancer, or self-employed",Engineering manager
175000.0,20 to 99 employees,Software Development,In-person,9.0,20.0,"Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Books;Stack Overflow,Bachelor,"Employed, full-time","Developer, full-stack"
